Date,fdate,beta_AR_1,beta_AR_2,beta_AR_3,beta_AR_4,beta_AR_5,beta_TR_1,beta_TR_2,beta_TR_3,beta_TR_4,beta_TR_5,beta_AR_Sig,beta_TR_Sig,beta_AR_130,beta_TR_130,beta_TR_BP,beta_TR_LO,beta_CAR_1,beta_CAR_2,beta_CAR_3,beta_CAR_4,beta_CAR_5,beta_CTR_1,beta_CTR_2,beta_CTR_3,beta_CTR_4,beta_CTR_5,beta_CAR_LS,beta_CTR_LS,beta_CAR_SW,beta_CTR_SW,beta_CTR_BP,beta_CTR_LO,beta_CXR_LO,beta_CTR_13,beta_CADD,beta_CTDD
2012-07-31,2012-06-30,0.88%,0.78%,0.82%,0.60%,0.80%,-1.13%,-0.87%,-0.76%,-0.79%,-0.96%,0.03%,-0.19%,0.87%,-1.00%,0.87%,-0.94%,126,146,146,139,112,107,319,260,410,441,-23.23%,101.4%,-33.93%,105.6%,35.77%,322.6%,212.6%,501.4%,-35.91%,-32.94%
2012-08-31,2012-07-31,-0.14%,-0.17%,-1.15%,-0.21%,-2.05%,5.09%,3.61%,1.54%,2.62%,1.45%,-2.02%,-3.66%,-2.83%,0.18%,2.50%,1.28%,126,145,144,139,110,112,331,264,421,447,-24.69%,94.05%,-35.26%,98.07%,39.17%,328.0%,208.8%,502.5%,-37.21%,-35.40%
2012-09-30,2012-08-31,-0.46%,-0.04%,0.13%,0.36%,-0.20%,4.33%,3.78%,3.39%,3.32%,4.39%,0.47%,0.32%,0.07%,4.49%,2.56%,4.39%,126,145,145,139,110,117,343,273,435,467,-24.50%,94.16%,-34.96%,98.69%,42.73%,346.8%,214.5%,529.6%,-36.91%,-35.19%
2012-10-31,2012-09-30,-2.32%,-0.91%,-0.12%,0.79%,0.07%,-2.97%,-2.31%,-1.68%,-0.84%,-1.51%,2.76%,1.22%,1.02%,-1.45%,-1.70%,-1.82%,123,144,144,140,110,113,336,269,431,460,-22.69%,97.01%,-33.16%,101.1%,40.30%,338.7%,214.1%,520.4%,-35.17%,-34.41%
2012-11-30,2012-10-31,0.42%,-0.11%,-1.21%,-0.78%,-1.98%,1.56%,0.84%,-0.32%,0.14%,-0.64%,-2.47%,-2.17%,-2.98%,-1.34%,0.66%,-0.69%,123,144,143,139,108,115,338,268,432,457,-24.55%,92.68%,-34.81%,96.74%,41.23%,335.7%,209.9%,512.1%,-36.77%,-35.83%
2012-12-31,2012-11-30,-2.34%,-0.01%,-0.14%,-0.51%,-2.43%,3.74%,3.77%,2.42%,2.21%,1.18%,-0.37%,-2.52%,-2.45%,0.63%,1.26%,1.39%,120,144,142,138,105,119,351,274,441,462,-24.61%,87.73%,-35.05%,91.78%,43.01%,341.7%,210.3%,516.0%,-37.00%,-37.45%
2013-01-31,2012-12-31,-0.47%,0.65%,1.01%,0.80%,2.79%,7.31%,6.80%,6.69%,6.03%,9.37%,2.43%,1.84%,3.02%,9.67%,5.53%,9.12%,120,145,144,140,108,128,375,293,468,506,-22.16%,91.60%,-33.47%,95.30%,50.91%,382.0%,221.4%,575.5%,-35.47%,-36.30%
2013-02-28,2013-01-31,-0.40%,0.20%,-0.14%,0.62%,-0.15%,0.41%,1.34%,1.38%,1.62%,1.23%,0.36%,1.10%,-0.01%,1.69%,1.30%,1.36%,119,145,144,140,108,129,380,297,476,512,-21.96%,93.17%,-33.23%,97.45%,52.87%,388.6%,221.6%,587.0%,-35.24%,-35.60%
2013-03-31,2013-02-28,0.70%,0.22%,-0.16%,0.53%,-1.29%,5.53%,4.69%,4.00%,4.51%,3.90%,-2.06%,-1.16%,-2.07%,3.68%,4.00%,4.03%,120,145,143,141,106,136,398,309,497,532,-23.52%,90.02%,-34.61%,95.17%,58.98%,408.3%,221.7%,612.3%,-36.57%,-36.34%
2013-04-30,2013-03-31,-0.47%,-0.17%,0.31%,0.77%,-0.83%,-0.33%,0.22%,0.54%,0.63%,-0.90%,-0.48%,-0.77%,-0.81%,-0.94%,1.68%,-0.71%,120,145,144,142,105,135,399,310,500,527,-23.79%,88.92%,-34.92%,93.66%,61.64%,404.7%,214.0%,605.6%,-36.88%,-36.84%
2013-05-31,2013-04-30,-0.20%,-0.72%,-1.24%,-1.35%,1.13%,6.26%,4.19%,2.94%,2.58%,6.00%,0.77%,-0.83%,0.99%,5.20%,2.46%,5.45%,119,144,142,140,107,144,415,319,513,559,-22.78%,88.42%,-34.42%,92.06%,65.62%,432.1%,223.4%,642.2%,-36.39%,-37.36%
2013-06-30,2013-05-31,-0.43%,0.50%,0.53%,0.27%,0.06%,-0.94%,-0.02%,0.43%,0.07%,-0.59%,-0.03%,-0.16%,-0.31%,-1.06%,-1.25%,-1.01%,119,145,143,141,107,142,415,321,513,555,-22.40%,89.07%,-34.44%,91.75%,63.55%,426.7%,224.2%,634.4%,-36.41%,-37.46%
2013-07-31,2013-06-30,1.36%,-0.06%,0.44%,-0.25%,-0.96%,8.70%,7.44%,6.47%,6.21%,6.89%,-2.48%,-1.59%,-1.55%,6.80%,5.46%,7.28%,120,145,143,140,106,155,446,342,545,594,-24.20%,85.64%,-36.07%,88.69%,72.47%,465.1%,230.1%,684.3%,-37.99%,-38.46%
2013-08-31,2013-07-31,1.43%,0.02%,-0.38%,-0.05%,2.40%,-2.85%,-3.11%,-2.89%,-2.61%,-0.12%,0.31%,2.13%,1.87%,-0.10%,-2.84%,-0.74%,122,145,143,140,108,150,432,332,531,593,-23.46%,90.72%,-35.87%,92.70%,67.57%,460.9%,237.0%,683.5%,-37.79%,-37.15%
2013-09-30,2013-08-31,1.56%,1.45%,0.46%,-0.23%,-0.76%,6.43%,6.51%,6.08%,4.75%,4.66%,-2.98%,-1.77%,-1.55%,4.62%,3.76%,5.15%,124,147,144,140,107,160,460,352,556,621,-25.24%,87.35%,-37.78%,89.29%,73.87%,489.8%,241.7%,719.7%,-39.65%,-38.26%
2013-10-31,2013-09-30,-2.64%,-0.01%,-0.53%,-0.52%,-0.80%,1.60%,3.67%,2.76%,2.74%,2.90%,1.37%,1.06%,-0.62%,3.03%,4.19%,2.71%,121,147,143,139,107,163,477,362,571,639,-23.86%,89.77%,-36.93%,91.29%,81.16%,505.8%,236.7%,744.5%,-38.82%,-37.61%
2013-11-30,2013-10-31,-0.19%,-0.01%,0.14%,-0.30%,0.02%,4.17%,4.28%,3.74%,3.71%,3.76%,0.50%,0.24%,0.27%,4.18%,2.86%,4.11%,121,147,143,139,107,169,498,375,593,663,-23.70%,88.99%,-36.61%,91.75%,86.34%,530.7%,240.9%,779.9%,-38.52%,-37.46%
2013-12-31,2013-11-30,0.52%,-0.57%,-0.17%,-0.29%,-0.16%,3.80%,1.97%,2.50%,2.37%,2.97%,-0.48%,-0.19%,-0.42%,3.11%,2.61%,3.16%,121,146,143,138,106,176,508,384,607,682,-24.23%,87.42%,-36.92%,91.40%,91.20%,550.7%,242.8%,807.2%,-38.81%,-37.57%
2014-01-31,2013-12-31,3.15%,1.80%,0.82%,1.76%,6.15%,-0.73%,-1.56%,-0.46%,-0.62%,3.85%,2.82%,4.89%,7.14%,5.66%,-3.13%,4.20%,125,149,144,141,113,175,500,383,603,709,-21.95%,96.01%,-35.14%,100.7%,85.20%,578.0%,267.9%,858.6%,-37.09%,-34.52%
2014-02-28,2014-01-31,1.03%,0.02%,-0.42%,-0.47%,-0.04%,5.60%,4.82%,4.31%,4.10%,4.32%,-1.09%,-0.65%,-0.45%,4.36%,4.67%,4.55%,126,149,143,140,113,184,524,399,628,739,-22.78%,93.50%,-35.85%,99.44%,93.86%,608.8%,267.5%,900.4%,-37.78%,-34.95%
2014-03-31,2014-02-28,-2.96%,-0.22%,0.83%,2.08%,1.75%,-1.57%,0.22%,-0.05%,1.23%,0.63%,5.58%,2.23%,4.17%,1.37%,0.51%,0.70%,123,148,145,143,115,182,525,399,635,744,-19.15%,97.75%,-32.27%,103.9%,94.84%,613.8%,268.2%,914.0%,-34.31%,-33.50%
2014-04-30,2014-03-31,-2.76%,-0.02%,0.13%,0.11%,0.38%,-6.33%,-2.93%,-3.62%,-2.31%,-2.81%,2.46%,2.76%,0.65%,-2.65%,-0.02%,-3.48%,119,148,145,143,115,170,510,385,621,723,-16.61%,104.7%,-30.61%,109.5%,94.80%,588.9%,255.4%,887.1%,-32.69%,-31.66%
2014-05-31,2014-04-30,-0.68%,-0.22%,0.72%,-0.24%,-0.48%,-0.62%,0.74%,1.14%,0.61%,-0.66%,-0.25%,-0.53%,-0.92%,-1.20%,2.10%,-1.05%,118,148,146,143,115,169,513,389,624,718,-16.44%,104.6%,-30.78%,108.4%,98.90%,581.7%,244.2%,875.2%,-32.86%,-32.02%
2014-06-30,2014-05-31,0.47%,-0.51%,-0.54%,-0.73%,-1.96%,6.54%,4.35%,4.59%,3.59%,3.34%,-3.14%,-3.51%,-3.36%,2.18%,2.50%,3.23%,119,147,145,142,112,180,536,407,647,742,-18.47%,98.09%,-32.96%,101.1%,103.9%,603.7%,246.8%,896.5%,-34.97%,-34.41%
2014-07-31,2014-06-30,-0.11%,0.30%,0.32%,0.26%,2.96%,-6.11%,-4.92%,-5.29%,-3.71%,-2.26%,3.15%,3.51%,3.96%,-1.41%,-1.95%,-2.47%,119,148,145,142,116,169,509,385,623,725,-15.97%,105.7%,-30.84%,108.2%,99.88%,586.4%,245.0%,882.4%,-32.92%,-32.11%
2014-08-31,2014-07-31,0.35%,0.03%,-0.57%,-0.53%,-1.44%,4.91%,4.38%,3.29%,4.18%,2.96%,-1.88%,-1.47%,-1.89%,2.82%,4.18%,3.26%,119,148,145,142,114,177,532,398,649,747,-17.47%,101.7%,-32.14%,105.1%,108.2%,608.8%,241.8%,910.1%,-34.18%,-33.10%
2014-09-30,2014-08-31,-1.34%,0.25%,-0.67%,-0.46%,1.11%,-6.97%,-4.07%,-4.75%,-4.24%,-4.10%,2.59%,2.65%,1.88%,-3.23%,-2.09%,-4.03%,118,148,144,141,115,165,510,379,621,716,-15.45%,107.5%,-30.38%,110.5%,103.9%,580.2%,235.2%,877.5%,-32.47%,-31.33%
2014-10-31,2014-09-30,-3.05%,-0.73%,0.16%,-0.68%,-5.78%,3.48%,4.35%,3.24%,3.79%,0.57%,-2.82%,-2.33%,-6.45%,0.15%,2.74%,0.85%,114,147,144,140,109,171,532,391,645,720,-17.75%,101.5%,-32.35%,105.6%,109.5%,586.0%,228.9%,878.9%,-34.38%,-32.93%
2014-11-30,2014-10-31,-1.35%,-0.37%,-0.45%,0.02%,-1.20%,-1.41%,0.62%,0.12%,0.63%,-0.39%,0.23%,1.01%,-1.42%,-0.26%,2.54%,-0.56%,113,146,143,140,107,168,535,392,649,717,-17.63%,103.5%,-32.19%,107.7%,114.8%,582.1%,218.7%,876.4%,-34.23%,-32.25%
2014-12-31,2014-11-30,-3.38%,0.13%,0.63%,0.01%,-0.74%,0.03%,2.07%,3.35%,1.66%,2.12%,2.53%,1.67%,-0.14%,2.20%,-0.03%,1.70%,109,147,144,140,107,168,546,405,660,733,-15.46%,107.8%,-30.47%,111.2%,114.7%,593.7%,224.2%,897.9%,-32.56%,-31.12%
2015-01-31,2014-12-31,-2.47%,0.82%,1.36%,1.56%,2.27%,-5.45%,-2.97%,-2.03%,-2.26%,-1.90%,4.46%,2.86%,3.29%,-1.43%,-2.75%,-2.29%,106,148,146,142,109,159,530,397,645,719,-11.45%,115.1%,-27.37%,117.2%,108.8%,577.8%,225.7%,883.6%,-29.55%,-29.15%
2015-02-28,2015-01-31,4.84%,0.59%,0.25%,-1.06%,-1.82%,9.81%,6.23%,5.61%,4.47%,4.89%,-6.26%,-3.53%,-2.91%,4.97%,5.76%,6.03%,111,149,146,141,107,175,563,419,674,754,-17.34%,104.6%,-31.92%,109.6%,120.8%,618.7%,226.6%,932.5%,-33.96%,-31.65%
2015-03-31,2015-02-28,-2.38%,-0.57%,-0.36%,-0.04%,-1.69%,-1.19%,0.78%,-0.03%,1.12%,0.13%,0.24%,0.69%,-1.86%,0.09%,-1.06%,-0.12%,109,148,146,141,105,173,568,419,681,755,-16.77%,107.3%,-31.75%,111.0%,118.5%,617.9%,229.6%,933.4%,-33.80%,-31.18%
2015-04-30,2015-03-31,2.19%,0.39%,0.36%,0.67%,2.42%,1.16%,-0.81%,-0.83%,-1.30%,1.33%,0.01%,-0.44%,2.31%,0.40%,0.40%,0.53%,111,148,146,141,108,175,563,415,672,765,-16.57%,107.6%,-31.75%,110.1%,119.4%,621.7%,230.1%,937.5%,-33.80%,-31.48%
2015-05-31,2015-04-30,0.16%,-0.48%,-1.18%,-1.86%,-1.53%,1.21%,0.70%,2.02%,0.56%,0.48%,-1.96%,-0.45%,-2.32%,0.33%,1.29%,0.46%,111,148,145,139,106,177,567,424,676,769,-17.98%,106.1%,-33.08%,109.1%,122.2%,625.0%,227.3%,940.9%,-35.09%,-31.79%
2015-06-30,2015-05-31,-2.13%,-0.38%,-0.52%,-0.36%,-0.79%,-2.24%,0.04%,0.44%,0.26%,0.09%,1.72%,2.47%,-0.26%,0.82%,-1.63%,0.08%,109,147,144,138,105,173,567,426,678,769,-16.88%,110.9%,-31.93%,114.3%,118.6%,625.6%,232.9%,949.4%,-33.98%,-30.11%
2015-07-31,2015-06-30,-1.54%,0.05%,1.25%,-0.02%,-1.69%,-5.80%,-1.77%,-0.51%,-1.45%,-4.04%,0.24%,2.44%,-1.31%,-3.05%,1.68%,-3.78%,107,147,146,138,104,163,557,423,668,738,-17.00%,114.6%,-31.77%,119.5%,122.2%,598.2%,214.8%,917.4%,-33.82%,-28.41%
2015-08-31,2015-07-31,-2.01%,-0.00%,-0.61%,1.13%,0.77%,-6.17%,-5.08%,-5.63%,-3.50%,-2.63%,2.72%,2.51%,1.51%,-2.31%,-5.98%,-3.07%,105,147,145,140,104,153,529,400,645,719,-14.68%,122.2%,-29.91%,125.0%,109.0%,576.7%,223.9%,893.9%,-32.02%,-26.61%
2015-09-30,2015-08-31,-2.22%,-0.87%,0.21%,0.99%,-0.57%,-8.92%,-5.07%,-4.17%,-3.01%,-5.31%,2.44%,4.05%,0.52%,-3.81%,-2.82%,-5.03%,103,146,145,141,104,139,502,383,625,681,-13.28%,130.2%,-28.20%,134.1%,103.1%,542.7%,216.8%,856.0%,-30.36%,-23.64%
2015-10-31,2015-09-30,-1.59%,-0.44%,-0.40%,-0.40%,-1.34%,6.40%,6.22%,4.51%,4.85%,4.07%,-0.57%,-2.68%,-1.82%,3.09%,7.68%,3.90%,101,145,145,141,102,148,533,400,656,708,-13.07%,124.8%,-28.61%,127.9%,118.7%,567.8%,204.8%,885.6%,-30.75%,-25.68%
2015-11-30,2015-10-31,-0.28%,-0.73%,-0.87%,-1.05%,-2.61%,2.13%,1.91%,2.35%,1.89%,3.41%,-2.32%,2.81%,-3.47%,5.44%,0.55%,4.60%,101,144,143,139,100,151,544,410,668,732,-15.09%,127.7%,-30.27%,134.3%,119.9%,598.5%,217.1%,939.2%,-32.36%,-23.59%
2015-12-31,2015-11-30,-1.40%,-0.41%,-0.65%,0.65%,0.71%,-6.31%,-4.43%,-4.54%,-3.40%,-3.67%,1.89%,2.24%,1.15%,-3.01%,-2.07%,-3.68%,99,144,142,140,100,142,519,391,645,706,-13.31%,133.8%,-28.95%,139.5%,115.3%,572.8%,212.0%,908.0%,-31.08%,-21.88%
2016-01-31,2015-12-31,-4.25%,-1.43%,-0.65%,0.47%,-1.74%,-13.23%,-9.46%,-8.47%,-6.08%,-8.46%,2.67%,4.44%,-0.58%,-6.94%,-5.64%,-8.27%,95,142,142,141,99,123,470,358,606,646,-11.13%,144.9%,-27.05%,150.1%,103.2%,517.1%,203.8%,838.0%,-29.24%,-18.41%
2016-02-29,2016-01-31,-2.82%,0.30%,0.62%,0.45%,-0.17%,-0.09%,1.00%,-0.42%,0.46%,-0.15%,2.46%,-0.24%,0.36%,-0.48%,-0.05%,-0.41%,92,142,142,141,98,123,475,356,609,645,-8.77%,144.8%,-25.26%,149.5%,103.1%,514.6%,202.7%,833.5%,-27.50%,-18.61%
2016-03-31,2016-02-29,0.81%,1.13%,1.38%,0.99%,-0.75%,11.23%,9.09%,7.87%,7.16%,6.85%,-1.38%,-3.82%,-1.13%,5.79%,7.08%,6.93%,93,144,144,143,98,137,518,384,652,689,-10.20%,134.1%,-26.29%,140.0%,117.4%,557.2%,202.3%,887.5%,-28.50%,-21.72%
2016-04-30,2016-03-31,3.21%,1.37%,1.01%,0.76%,0.76%,6.82%,3.22%,2.25%,2.19%,2.85%,-2.38%,-3.95%,0.45%,2.14%,0.81%,3.33%,96,146,146,144,98,146,535,393,667,709,-12.40%,124.8%,-28.04%,130.5%,119.2%,579.1%,209.9%,908.6%,-30.20%,-24.81%
2016-05-31,2016-04-30,-1.77%,0.05%,-0.91%,-0.29%,-1.77%,-0.50%,1.45%,1.35%,0.90%,-0.34%,0.38%,0.81%,-1.69%,-0.07%,1.79%,-0.32%,94,146,144,143,97,145,543,398,673,706,-12.39%,125.1%,-27.77%,132.4%,123.1%,576.9%,203.3%,907.9%,-29.94%,-24.20%
2016-06-30,2016-05-31,-0.59%,-1.36%,0.05%,0.74%,0.15%,-1.71%,-1.57%,0.30%,1.69%,1.50%,0.27%,4.14%,0.29%,3.93%,0.26%,2.69%,94,144,145,145,97,143,534,400,684,717,-11.75%,132.3%,-27.57%,142.0%,123.7%,595.1%,210.7%,947.6%,-29.75%,-21.06%
2016-07-31,2016-06-30,-2.31%,0.75%,0.47%,0.59%,0.15%,6.88%,6.70%,5.35%,4.99%,5.13%,1.84%,-2.10%,0.44%,4.07%,3.97%,4.70%,92,145,145,145,97,153,570,421,718,754,-9.58%,128.3%,-26.24%,136.9%,132.6%,627.8%,213.0%,990.2%,-28.46%,-22.72%
2016-08-31,2016-07-31,1.20%,-0.01%,-0.62%,-0.59%,-0.81%,4.11%,1.86%,1.48%,1.00%,1.15%,-2.16%,-2.67%,-1.54%,0.40%,0.32%,1.20%,93,145,144,145,96,159,580,427,725,762,-11.40%,121.5%,-27.83%,130.6%,133.3%,636.5%,215.8%,994.5%,-30.00%,-24.79%
2016-09-30,2016-08-31,0.32%,-0.19%,-0.41%,-0.53%,-0.17%,3.30%,2.05%,1.48%,0.75%,2.67%,-1.04%,-1.63%,-0.79%,1.45%,0.19%,1.94%,93,145,144,144,96,164,592,433,731,783,-11.83%,120.1%,-28.59%,126.8%,133.8%,650.8%,221.3%,1010%,-30.73%,-26.02%
2016-10-31,2016-09-30,-1.03%,0.37%,-0.12%,-0.16%,-0.64%,-8.45%,-4.54%,-5.17%,-3.75%,-4.59%,-0.27%,3.09%,-1.23%,-4.15%,-2.12%,-5.08%,92,145,144,144,95,150,565,411,703,747,-11.49%,128.6%,-28.78%,133.9%,128.8%,612.7%,211.8%,964.3%,-30.92%,-23.73%
2016-11-30,2016-10-31,0.84%,-0.32%,-0.57%,0.03%,-5.60%,11.12%,9.74%,7.93%,7.21%,6.45%,-5.74%,-3.76%,-6.28%,5.71%,4.59%,6.83%,93,145,143,144,90,167,621,444,754,795,-17.20%,118.0%,-32.87%,125.1%,139.3%,661.4%,218.8%,1025%,-34.88%,-26.60%
2016-12-31,2016-11-30,0.31%,0.12%,0.51%,1.05%,-0.50%,1.86%,2.06%,2.25%,3.09%,1.49%,-0.81%,0.09%,-0.95%,1.51%,1.94%,1.49%,93,145,143,145,90,170,633,454,777,807,-17.87%,117.2%,-33.41%,125.2%,144.0%,672.7%,217.3%,1042%,-35.41%,-26.53%
2017-01-31,2016-12-31,0.50%,-0.36%,0.57%,0.36%,1.32%,3.21%,0.72%,1.29%,0.98%,1.90%,0.29%,-2.49%,1.19%,0.80%,1.89%,1.55%,94,144,144,146,91,175,638,459,785,822,-17.20%,114.3%,-33.22%,119.6%,148.6%,684.7%,216.2%,1051%,-35.23%,-28.36%
2017-02-28,2017-01-31,-1.71%,0.07%,-0.53%,0.92%,0.22%,1.33%,2.41%,1.53%,2.46%,1.70%,2.44%,0.75%,1.16%,2.09%,3.64%,1.86%,92,144,144,147,91,178,653,466,804,836,-15.60%,115.1%,-31.59%,121.3%,157.6%,699.3%,210.6%,1075%,-33.65%,-27.83%
2017-03-31,2017-02-28,-3.37%,0.08%,0.03%,0.18%,0.06%,-1.23%,1.24%,0.85%,0.91%,0.77%,3.55%,1.95%,1.09%,1.39%,0.13%,0.80%,89,144,144,147,91,176,661,470,812,843,-12.71%,119.4%,-29.17%,125.6%,158.0%,705.7%,212.7%,1092%,-31.29%,-26.41%
2017-04-30,2017-03-31,-4.06%,-0.62%,-0.28%,0.37%,-1.47%,-2.00%,0.71%,0.64%,1.82%,0.37%,2.78%,2.48%,-0.40%,1.35%,1.11%,0.61%,85,144,143,148,90,172,666,473,826,846,-10.45%,124.7%,-27.20%,131.2%,160.8%,710.6%,211.1%,1108%,-29.39%,-24.59%
2017-05-31,2017-04-30,-3.93%,-0.79%,0.14%,-0.31%,-1.31%,-5.07%,-2.43%,-1.02%,-0.64%,-1.81%,2.94%,3.57%,-0.23%,-0.53%,1.06%,-1.60%,82,142,143,147,89,163,650,469,821,831,-8.10%,132.0%,-25.06%,139.5%,163.6%,697.6%,202.8%,1101%,-27.31%,-21.90%
2017-06-30,2017-05-31,2.82%,0.72%,0.36%,0.14%,-0.08%,6.74%,3.68%,3.44%,2.05%,2.51%,-2.88%,-3.77%,-1.00%,1.46%,0.90%,2.59%,84,143,144,148,89,174,674,485,838,851,-10.76%,122.2%,-27.22%,130.4%,166.0%,718.3%,208.0%,1119%,-29.41%,-24.85%
2017-07-31,2017-06-30,-0.45%,-0.03%,-0.35%,-0.40%,-0.93%,-0.77%,0.63%,0.38%,0.57%,-0.07%,-0.20%,1.21%,-0.94%,0.38%,1.93%,0.02%,84,143,143,147,88,173,678,487,843,851,-11.20%,123.7%,-27.37%,133.2%,171.1%,718.4%,202.1%,1123%,-29.55%,-23.94%
2017-08-31,2017-07-31,0.10%,-0.72%,0.30%,-0.48%,-0.39%,-2.97%,-2.22%,-0.87%,-1.09%,-1.28%,-0.57%,1.51%,-0.85%,-1.13%,0.26%,-1.58%,84,142,144,146,87,168,663,482,834,840,-11.63%,127.5%,-27.78%,136.7%,171.8%,705.5%,196.5%,1110%,-29.95%,-22.79%
2017-09-30,2017-08-31,1.71%,0.94%,0.32%,0.91%,-0.38%,9.40%,7.80%,6.39%,5.69%,5.57%,-1.85%,-3.09%,-0.85%,4.55%,2.47%,5.47%,85,144,144,148,87,184,715,513,881,887,-13.48%,118.8%,-29.12%,129.4%,178.5%,749.6%,205.4%,1165%,-31.25%,-25.17%
2017-10-31,2017-09-30,0.03%,-0.41%,0.26%,-0.54%,-1.11%,-1.41%,0.31%,0.84%,0.59%,-0.33%,-1.26%,1.38%,-1.54%,0.19%,2.24%,-0.22%,85,143,145,147,86,181,717,517,886,884,-14.46%,121.1%,-30.01%,132.6%,184.7%,747.7%,197.9%,1167%,-32.11%,-24.14%
2017-11-30,2017-10-31,0.05%,0.40%,0.48%,0.62%,1.49%,2.75%,2.80%,3.05%,3.27%,4.74%,1.89%,2.58%,1.84%,5.33%,3.22%,4.56%,85,144,145,148,87,186,737,533,915,926,-13.23%,125.5%,-28.69%,138.6%,193.9%,786.3%,201.9%,1235%,-30.83%,-22.19%
2017-12-31,2017-11-30,0.04%,-0.65%,0.50%,0.44%,2.15%,1.25%,-0.30%,0.97%,0.93%,2.72%,2.00%,1.41%,2.51%,3.13%,1.10%,2.71%,85,143,146,148,89,188,735,538,924,951,-11.40%,128.8%,-27.26%,141.9%,197.1%,810.3%,206.8%,1276%,-29.45%,-21.09%
2018-01-31,2017-12-31,1.20%,-0.50%,-0.74%,-0.65%,0.75%,2.03%,2.05%,2.50%,2.45%,4.35%,-0.43%,1.60%,0.27%,4.40%,5.34%,3.92%,87,142,145,147,90,192,750,552,946,992,-11.80%,134.1%,-27.57%,145.8%,213.0%,846.0%,202.4%,1337%,-29.75%,-19.83%
2018-02-28,2018-01-31,-0.44%,-0.78%,-1.09%,-0.93%,-0.23%,-5.52%,-4.22%,-4.17%,-4.02%,-3.27%,-0.12%,1.73%,-0.68%,-3.25%,-3.65%,-3.77%,86,141,143,146,90,182,718,529,908,960,-11.62%,139.4%,-27.66%,150.1%,201.6%,810.3%,202.0%,1290%,-29.83%,-18.44%
2018-03-31,2018-02-28,-1.59%,0.55%,0.99%,0.84%,-0.42%,0.97%,1.22%,1.70%,1.32%,0.85%,1.19%,-0.85%,-0.02%,0.64%,-1.98%,0.89%,85,142,145,147,89,183,727,538,920,968,-10.58%,139.1%,-26.80%,147.9%,195.6%,818.4%,210.7%,1299%,-29.00%,-19.13%
2018-04-30,2018-03-31,0.05%,-0.49%,-0.56%,-0.80%,-0.64%,1.48%,0.81%,0.39%,0.32%,0.64%,-1.18%,-1.18%,-1.40%,-0.09%,0.43%,0.27%,85,141,144,146,89,186,733,540,923,974,-11.19%,137.1%,-27.67%,145.0%,196.9%,820.9%,210.2%,1298%,-29.84%,-20.09%
2018-05-31,2018-04-30,-0.00%,0.97%,-0.83%,-1.27%,-3.52%,6.13%,6.21%,4.04%,4.39%,3.86%,-3.85%,-2.88%,-5.17%,2.61%,2.78%,3.47%,85,142,143,144,86,197,778,562,964,"1,012",-14.32%,131.7%,-30.45%,138.0%,205.1%,852.9%,212.4%,1334%,-32.54%,-22.39%
2018-06-30,2018-05-31,-2.40%,-1.02%,-0.42%,1.04%,-1.28%,-0.10%,0.22%,2.43%,2.80%,0.63%,1.68%,1.29%,-0.66%,1.20%,0.75%,0.81%,83,141,142,146,85,197,780,576,991,"1,018",-13.36%,133.4%,-29.29%,141.0%,207.4%,860.6%,212.5%,1351%,-31.41%,-21.39%
2018-07-31,2018-06-30,-1.93%,-0.80%,-0.61%,-0.58%,-2.55%,0.22%,1.38%,0.97%,1.09%,-0.89%,-0.52%,-0.76%,-2.50%,-0.82%,3.27%,-0.59%,81,140,141,145,82,198,791,581,"1,001","1,009",-13.90%,130.8%,-29.65%,139.2%,217.5%,854.9%,200.4%,1339%,-31.77%,-21.99%
2018-08-31,2018-07-31,0.37%,1.52%,-0.11%,0.57%,-1.65%,3.62%,4.02%,2.78%,3.44%,2.67%,-2.25%,-1.06%,-2.67%,2.28%,3.55%,2.60%,81,142,141,146,81,205,823,597,"1,036","1,036",-15.64%,128.6%,-31.24%,136.6%,228.8%,879.7%,197.6%,1372%,-33.30%,-22.81%
2018-09-30,2018-08-31,-0.86%,-0.25%,-0.51%,-0.15%,0.04%,-1.95%,-1.25%,-1.69%,-1.85%,-1.58%,0.97%,0.59%,0.27%,-1.35%,0.10%,-1.53%,81,142,140,145,81,201,812,587,"1,017","1,020",-14.88%,129.5%,-30.57%,138.0%,229.1%,864.8%,192.7%,1352%,-32.66%,-22.36%
2018-10-31,2018-09-30,-1.51%,-0.22%,-0.37%,0.32%,1.97%,-12.65%,-8.99%,-9.73%,-8.39%,-9.29%,3.96%,3.44%,3.36%,-8.22%,-7.26%,-9.26%,80,141,140,146,83,175,739,530,931,925,-11.92%,137.2%,-27.82%,146.2%,205.2%,775.5%,186.9%,1233%,-29.99%,-19.69%
