Date,fdate,beta_AR_1,beta_AR_2,beta_AR_3,beta_AR_4,beta_AR_5,beta_TR_1,beta_TR_2,beta_TR_3,beta_TR_4,beta_TR_5,beta_AR_Sig,beta_TR_Sig,beta_AR_130,beta_TR_130,beta_TR_BP,beta_TR_LO,beta_CAR_1,beta_CAR_2,beta_CAR_3,beta_CAR_4,beta_CAR_5,beta_CTR_1,beta_CTR_2,beta_CTR_3,beta_CTR_4,beta_CTR_5,beta_CAR_LS,beta_CTR_LS,beta_CAR_SW,beta_CTR_SW,beta_CTR_BP,beta_CTR_LO,beta_CXR_LO,beta_CTR_13,beta_CADD,beta_CTDD
2018-11-30,2018-10-31,-3.02%,-0.58%,-0.43%,-1.17%,-3.77%,-1.21%,1.10%,0.72%,0.34%,-1.97%,-0.72%,-0.57%,-3.97%,-2.04%,1.99%,-1.87%,77,140,139,144,80,173,747,534,935,907,-12.58%,135.4%,-28.34%,144.8%,211.3%,759.1%,175.8%,1206%,-30.49%,-20.15%
2018-12-31,2018-11-30,-4.41%,-2.08%,-0.99%,-1.70%,-0.93%,-16.18%,-13.33%,-10.70%,-11.13%,-12.85%,3.79%,2.76%,-0.05%,-12.39%,-9.28%,-13.21%,74,138,138,142,79,145,648,477,831,790,-9.53%,143.2%,-25.62%,151.6%,182.4%,645.6%,165.0%,1044%,-27.85%,-17.95%
2019-01-31,2018-12-31,2.23%,0.77%,0.69%,1.04%,2.15%,17.57%,13.08%,14.49%,11.10%,15.11%,-0.49%,-1.80%,2.01%,14.95%,8.72%,15.49%,75,139,139,143,80,171,733,546,923,910,-9.60%,137.2%,-25.99%,147.0%,207.0%,761.0%,182.9%,1215%,-28.21%,-19.42%
2019-02-28,2019-01-31,-0.49%,0.80%,0.01%,-0.19%,-0.80%,6.33%,5.41%,4.75%,3.86%,4.37%,-1.13%,-2.45%,-1.54%,3.32%,3.43%,4.05%,75,140,139,143,80,182,772,572,958,949,-9.89%,132.6%,-26.82%,141.0%,217.6%,796.0%,184.7%,1259%,-29.02%,-21.40%
2019-03-31,2019-02-28,-0.60%,-0.77%,0.12%,0.20%,0.95%,-0.89%,-1.73%,-1.39%,-1.29%,-0.47%,1.82%,2.40%,1.59%,2.37%,1.40%,1.65%,75,139,139,143,81,180,759,564,946,945,-8.50%,133.5%,-25.49%,146.8%,222.0%,810.8%,185.4%,1291%,-27.73%,-19.52%
2019-04-30,2019-03-31,-1.72%,-0.18%,-1.54%,-0.63%,-3.15%,2.44%,4.11%,2.25%,2.35%,0.94%,-1.73%,-1.66%,-3.86%,0.41%,4.02%,0.91%,73,138,137,142,78,184,790,577,968,954,-9.81%,130.0%,-26.79%,142.7%,235.0%,819.0%,176.5%,1297%,-28.99%,-20.85%
2019-05-31,2019-04-30,0.71%,0.31%,1.60%,1.76%,3.12%,-10.93%,-9.33%,-6.88%,-5.68%,-6.43%,2.79%,4.52%,4.28%,-4.84%,-6.47%,-6.20%,74,139,139,145,80,164,716,537,913,892,-7.62%,140.4%,-24.74%,153.6%,213.3%,762.1%,177.3%,1229%,-27.00%,-17.27%
2019-06-30,2019-05-31,-4.36%,-1.09%,-1.38%,-1.46%,-4.01%,5.28%,7.15%,5.69%,4.79%,4.31%,0.00%,-0.51%,-4.41%,4.59%,6.83%,4.74%,71,137,137,143,77,173,768,567,957,931,-7.30%,138.1%,-24.74%,152.3%,234.7%,803.0%,171.5%,1290%,-27.00%,-17.70%
2019-07-31,2019-06-30,-0.35%,-0.06%,0.24%,0.47%,-0.41%,-2.46%,-0.42%,-0.87%,0.32%,-0.52%,-0.48%,2.03%,-0.70%,0.32%,1.45%,-0.29%,70,137,138,143,77,169,764,562,960,926,-7.36%,142.7%,-25.10%,157.5%,239.6%,800.4%,166.7%,1294%,-27.35%,-16.03%
2019-08-31,2019-07-31,-1.03%,-0.38%,1.24%,0.90%,-0.34%,-6.35%,-6.21%,-3.82%,-3.72%,-5.34%,-0.10%,0.27%,-0.68%,-5.46%,-2.11%,-5.54%,70,137,139,145,77,158,717,541,924,877,-6.72%,145.2%,-25.18%,158.2%,232.4%,750.5%,157.6%,1218%,-27.43%,-15.80%
2019-09-30,2019-08-31,0.52%,1.04%,0.68%,1.58%,0.02%,2.10%,3.95%,2.61%,3.61%,0.66%,-0.12%,-1.03%,0.16%,0.50%,1.75%,0.80%,70,138,140,147,77,161,745,555,958,882,-7.19%,141.6%,-25.27%,155.5%,238.2%,757.4%,155.1%,1225%,-27.52%,-16.66%
2019-10-31,2019-09-30,-3.75%,-1.46%,-0.63%,-1.19%,-3.97%,-0.13%,1.05%,1.65%,0.92%,-1.66%,-0.19%,-1.23%,-4.18%,-2.05%,2.20%,-1.69%,67,136,139,145,74,161,753,564,966,868,-7.40%,137.9%,-25.41%,152.4%,245.7%,742.9%,145.2%,1198%,-27.65%,-17.69%
2019-11-30,2019-10-31,-2.93%,-0.87%,-1.75%,-0.96%,-2.47%,4.33%,4.26%,2.49%,3.12%,2.47%,-0.48%,-2.75%,-3.26%,0.79%,3.75%,1.62%,65,135,137,144,72,168,785,578,997,889,-6.97%,133.5%,-25.77%,145.4%,258.7%,756.5%,140.0%,1208%,-28.00%,-19.95%
2019-12-31,2019-11-30,2.06%,0.39%,-0.96%,0.43%,0.56%,7.23%,4.55%,3.20%,4.07%,4.60%,-2.43%,-3.71%,-0.52%,3.12%,2.79%,4.23%,67,135,136,145,72,180,821,597,"1,037",930,-8.37%,127.4%,-27.58%,136.3%,268.7%,792.8%,143.4%,1249%,-29.76%,-22.92%
2020-01-31,2019-12-31,0.96%,0.88%,1.82%,0.71%,4.89%,-5.03%,-2.88%,-1.13%,-1.08%,3.57%,3.61%,8.71%,5.78%,6.80%,0.06%,4.18%,67,137,138,146,76,171,797,590,"1,026",963,-4.77%,147.0%,-24.96%,156.9%,268.9%,830.1%,153.5%,1340%,-27.22%,-16.20%
2020-02-29,2020-01-31,-1.55%,-0.49%,-1.26%,-2.26%,0.81%,-9.44%,-8.39%,-7.55%,-7.27%,-3.62%,2.68%,7.21%,1.56%,0.08%,-8.00%,-2.08%,66,136,136,142,76,155,730,545,951,929,-2.53%,161.3%,-22.95%,175.4%,239.4%,810.8%,168.5%,1342%,-25.27%,-10.16%
2020-03-31,2020-02-29,-4.57%,-3.01%,-5.08%,-5.62%,-6.50%,-28.55%,-23.34%,-22.28%,-19.11%,-21.83%,-1.73%,5.74%,-7.31%,-20.00%,-13.57%,-21.73%,63,132,129,134,71,111,560,424,769,726,-4.41%,178.9%,-24.28%,191.3%,193.3%,612.9%,146.6%,1053%,-26.56%,-5.00%
2020-04-30,2020-03-31,10.37%,3.17%,2.32%,-0.56%,-2.62%,27.40%,18.56%,18.06%,15.55%,14.95%,-11.90%,-10.56%,-5.16%,13.27%,13.44%,16.44%,70,136,132,133,70,141,664,500,889,834,-16.82%,144.2%,-33.29%,160.5%,232.7%,730.1%,154.0%,1206%,-35.30%,-15.03%
2020-05-31,2020-04-30,2.46%,0.97%,-1.36%,-1.50%,-2.21%,9.46%,7.51%,6.66%,6.00%,7.85%,-5.29%,-1.65%,-4.42%,6.81%,5.40%,7.31%,72,137,131,131,68,154,714,534,942,900,-20.71%,140.2%,-36.82%,156.2%,250.7%,790.7%,158.8%,1295%,-38.72%,-16.44%
2020-06-30,2020-05-31,4.63%,0.88%,0.84%,1.17%,0.59%,11.30%,5.17%,4.97%,7.26%,7.35%,-3.97%,-2.86%,-0.43%,7.05%,2.44%,7.91%,75,139,132,133,68,172,751,560,"1,011",966,-23.91%,130.7%,-39.34%,148.9%,259.3%,861.1%,173.0%,1394%,-41.16%,-18.83%
2020-07-31,2020-06-30,1.77%,-0.45%,-0.77%,-1.21%,0.29%,4.27%,2.81%,2.55%,4.30%,5.10%,-1.70%,0.92%,-0.49%,5.07%,5.73%,4.79%,76,138,131,131,69,179,772,575,"1,054","1,015",-25.04%,132.6%,-40.36%,151.2%,279.8%,907.2%,170.4%,1469%,-42.16%,-18.08%
2020-08-31,2020-07-31,0.04%,-2.55%,-3.04%,-3.27%,-6.62%,7.42%,4.82%,4.33%,3.55%,3.01%,-7.38%,-5.19%,-9.37%,0.86%,7.38%,2.41%,76,134,127,127,64,193,809,600,"1,092","1,046",-30.03%,122.4%,-44.77%,138.1%,307.9%,931.5%,157.0%,1483%,-46.42%,-22.33%
2020-09-30,2020-08-31,2.46%,1.98%,1.05%,0.56%,0.72%,-3.66%,-2.93%,-1.76%,-3.06%,-1.85%,-1.41%,1.61%,0.43%,-1.48%,-3.62%,-1.96%,78,137,128,128,65,185,785,589,"1,058","1,026",-31.26%,126.4%,-45.55%,142.0%,293.1%,911.3%,161.2%,1459%,-47.18%,-21.08%
2020-10-31,2020-09-30,-5.37%,-1.53%,-2.01%,-0.76%,0.44%,0.36%,1.73%,-0.30%,0.77%,1.86%,4.90%,0.68%,1.13%,1.16%,-2.11%,0.96%,74,135,125,127,65,186,799,587,"1,066","1,046",-27.26%,129.8%,-42.88%,143.6%,284.8%,920.9%,169.3%,1477%,-44.60%,-20.54%
2020-11-30,2020-10-31,4.72%,2.45%,1.66%,0.29%,-3.49%,29.66%,21.82%,19.82%,16.98%,14.50%,-7.67%,-13.44%,-5.20%,11.14%,12.26%,15.17%,77,138,128,127,63,241,973,704,"1,247","1,197",-33.23%,94.96%,-47.26%,110.9%,332.0%,1076%,177.1%,1653%,-48.85%,-31.22%
2020-12-31,2020-11-30,-0.31%,-0.55%,-0.12%,-0.43%,-2.38%,11.36%,8.68%,8.82%,7.96%,8.52%,-2.35%,-3.44%,-2.91%,7.28%,4.57%,8.31%,77,138,127,127,61,269,"1,058",766,"1,347","1,299",-34.61%,89.41%,-48.50%,103.6%,351.7%,1174%,187.5%,1781%,-50.05%,-33.58%
2021-01-31,2020-12-31,5.78%,2.44%,-0.83%,1.97%,3.84%,16.19%,9.21%,4.41%,10.08%,12.59%,-1.02%,-2.33%,4.43%,12.18%,-0.11%,12.88%,82,141,126,129,63,312,"1,155",799,"1,483","1,463",-35.88%,82.59%,-49.03%,98.89%,351.2%,1338%,224.8%,2010%,-50.56%,-35.13%
2021-02-28,2021-01-31,1.28%,0.92%,2.25%,2.62%,4.50%,12.69%,8.76%,7.92%,7.81%,8.24%,2.98%,-3.98%,4.95%,6.94%,2.93%,8.13%,83,142,129,133,66,352,"1,256",863,"1,598","1,583",-33.82%,74.45%,-47.51%,90.99%,364.4%,1454%,241.7%,2156%,-49.09%,-37.71%
2021-03-31,2021-02-28,-3.66%,-2.34%,0.25%,-0.25%,1.94%,3.96%,2.55%,1.80%,1.94%,0.67%,4.93%,-3.16%,2.89%,-0.21%,3.35%,0.74%,80,139,129,132,68,366,"1,288",878,"1,629","1,594",-30.11%,68.72%,-44.92%,84.95%,380.0%,1466%,232.8%,2151%,-46.57%,-39.68%
2021-04-30,2021-03-31,-0.46%,-0.06%,0.21%,-0.67%,-0.81%,1.37%,2.11%,2.17%,2.03%,1.04%,-0.40%,-1.19%,-0.84%,0.56%,5.10%,0.92%,79,139,130,131,67,371,"1,315",897,"1,662","1,610",-30.35%,68.16%,-45.14%,82.74%,404.5%,1480%,218.8%,2164%,-46.79%,-40.40%
2021-05-31,2021-04-30,-0.47%,-0.59%,0.11%,0.52%,0.28%,2.58%,1.62%,-0.01%,1.80%,1.12%,-0.38%,-2.23%,-0.25%,0.53%,0.33%,1.19%,79,138,130,132,67,380,"1,337",897,"1,692","1,629",-29.83%,65.72%,-45.35%,78.67%,406.2%,1499%,221.6%,2176%,-46.99%,-41.72%
2021-06-30,2021-05-31,2.63%,-1.15%,-1.89%,-1.24%,-1.26%,6.83%,0.35%,1.79%,1.76%,3.59%,-4.17%,-3.31%,-2.72%,2.33%,2.70%,3.32%,81,136,127,130,66,406,"1,341",913,"1,722","1,687",-32.55%,60.35%,-47.63%,72.76%,419.8%,1552%,223.6%,2229%,-49.20%,-43.65%
2021-07-31,2021-06-30,-2.13%,-0.68%,-0.18%,0.02%,1.03%,-6.67%,-2.42%,-3.96%,-1.89%,-4.23%,4.06%,2.05%,2.87%,-4.04%,1.50%,-4.65%,79,135,127,130,67,379,"1,309",877,"1,689","1,616",-30.42%,64.27%,-45.50%,76.30%,427.7%,1475%,203.7%,2135%,-47.14%,-42.50%
2021-08-31,2021-07-31,-0.18%,0.37%,-0.26%,-0.41%,-1.43%,2.51%,2.72%,2.04%,2.26%,1.79%,-1.62%,-0.41%,-2.05%,1.85%,2.91%,1.98%,79,136,127,130,66,389,"1,345",895,"1,728","1,645",-31.29%,63.09%,-46.38%,75.57%,443.0%,1506%,200.8%,2176%,-47.99%,-42.73%
2021-09-30,2021-08-31,-0.07%,-0.31%,0.35%,-0.16%,-0.31%,-3.84%,-2.63%,-2.79%,-2.68%,-2.11%,-1.12%,1.17%,-1.45%,-2.11%,-4.39%,-2.46%,79,136,127,130,66,374,"1,309",870,"1,681","1,610",-31.46%,65.90%,-46.98%,77.62%,419.2%,1467%,206.6%,2128%,-48.58%,-42.07%
2021-10-31,2021-09-30,-1.47%,-0.80%,-1.47%,-2.06%,-3.45%,1.86%,3.65%,1.15%,2.98%,1.33%,-2.43%,-0.65%,-4.10%,1.01%,6.70%,1.21%,78,134,125,127,64,381,"1,357",880,"1,731","1,631",-32.82%,65.02%,-48.27%,76.47%,454.0%,1486%,189.8%,2151%,-49.82%,-42.44%
2021-11-30,2021-10-31,-4.92%,-1.71%,-0.95%,-2.11%,-1.62%,-8.58%,-4.48%,-2.85%,-4.63%,-5.03%,3.78%,3.38%,-0.42%,-4.43%,-1.46%,-5.45%,74,132,124,124,63,348,"1,296",855,"1,651","1,549",-30.60%,70.89%,-46.31%,82.43%,445.9%,1400%,178.2%,2051%,-47.93%,-40.50%
2021-12-31,2021-11-30,-6.40%,-0.47%,0.43%,0.56%,-0.65%,-5.92%,2.60%,0.12%,3.23%,0.56%,6.55%,6.38%,2.00%,2.20%,3.46%,0.28%,69,132,125,125,62,328,"1,330",856,"1,704","1,558",-26.62%,81.97%,-42.80%,94.06%,464.7%,1404%,169.4%,2098%,-44.52%,-36.71%
2022-01-31,2021-12-31,4.46%,1.24%,0.04%,1.46%,7.65%,-13.20%,-7.33%,-9.63%,-5.89%,-7.26%,4.29%,5.75%,9.49%,-5.98%,-6.20%,-7.71%,72,133,125,127,67,284,"1,233",774,"1,604","1,445",-24.28%,92.79%,-40.34%,105.2%,429.7%,1288%,165.4%,1967%,-42.14%,-33.06%
2022-02-28,2022-01-31,-3.08%,-0.42%,-1.09%,-0.73%,-2.33%,-1.98%,-0.11%,0.09%,-0.35%,0.18%,-0.06%,1.55%,-2.54%,0.54%,-2.33%,0.07%,70,133,123,126,65,279,"1,231",774,"1,598","1,448",-23.71%,96.97%,-40.38%,108.4%,417.4%,1289%,171.7%,1978%,-42.17%,-32.03%
2022-03-31,2022-02-28,1.03%,0.47%,0.78%,0.56%,1.72%,3.20%,1.64%,0.01%,1.65%,2.94%,0.84%,0.13%,1.91%,3.11%,3.26%,3.07%,71,133,124,127,66,288,"1,251",774,"1,625","1,490",-23.18%,96.45%,-39.88%,108.7%,434.3%,1332%,171.2%,2043%,-41.68%,-31.94%
2022-04-30,2022-03-31,-5.83%,-0.54%,-0.87%,0.23%,-1.20%,-18.50%,-10.73%,-8.56%,-7.77%,-8.69%,4.75%,9.78%,-0.07%,-6.15%,-9.23%,-9.09%,67,133,123,127,66,234,"1,117",708,"1,499","1,361",-19.63%,115.7%,-37.02%,129.1%,384.9%,1202%,171.6%,1911%,-38.91%,-25.28%
2022-05-31,2022-04-30,1.85%,-1.24%,-1.69%,-1.39%,-4.06%,-4.11%,-1.53%,-2.89%,-0.67%,-2.64%,-5.29%,1.86%,-5.18%,-1.90%,-0.43%,-2.46%,68,131,121,125,63,225,"1,100",688,"1,489","1,325",-24.38%,118.9%,-40.35%,133.3%,382.8%,1170%,166.1%,1873%,-42.15%,-23.89%
2022-06-30,2022-05-31,-7.92%,-0.65%,0.32%,2.50%,2.83%,-11.56%,-8.24%,-6.52%,-5.85%,-3.94%,11.05%,7.16%,5.90%,-2.43%,-8.30%,-4.58%,63,130,122,128,65,199,"1,009",643,"1,402","1,273",-16.25%,135.6%,-33.76%,150.1%,342.7%,1111%,176.0%,1825%,-35.75%,-18.44%
2022-07-31,2022-06-30,-3.92%,-3.48%,-2.03%,-3.35%,-6.59%,12.06%,9.97%,6.86%,6.92%,4.97%,-2.91%,-6.75%,-7.36%,3.49%,9.61%,5.51%,60,125,119,124,61,223,"1,110",687,"1,499","1,336",-18.48%,118.9%,-35.69%,133.2%,385.3%,1178%,164.7%,1892%,-37.62%,-23.95%
2022-08-31,2022-07-31,1.16%,1.33%,0.33%,1.02%,0.76%,-0.34%,-0.86%,-0.62%,-1.05%,0.45%,-0.78%,0.68%,0.65%,0.70%,-3.68%,0.50%,61,127,120,125,61,222,"1,100",683,"1,483","1,342",-18.81%,120.6%,-36.19%,134.8%,367.4%,1185%,175.8%,1906%,-38.11%,-23.43%
2022-09-30,2022-08-31,-4.11%,-1.26%,-0.69%,-1.21%,-0.68%,-14.82%,-12.16%,-7.68%,-10.32%,-9.47%,4.04%,5.46%,0.46%,-8.24%,-9.25%,-9.88%,58,126,119,124,61,189,966,630,"1,330","1,215",-16.03%,132.4%,-33.62%,147.6%,324.2%,1058%,174.0%,1740%,-35.61%,-19.25%
2022-10-31,2022-09-30,-3.01%,-1.11%,-2.92%,-1.02%,-7.59%,4.19%,10.06%,4.13%,8.97%,5.58%,-4.90%,2.07%,-8.63%,6.96%,7.93%,6.34%,57,124,115,122,56,197,"1,064",656,"1,449","1,283",-19.88%,135.6%,-36.87%,152.7%,357.8%,1131%,169.7%,1869%,-38.77%,-17.58%
2022-11-30,2022-10-31,-3.75%,0.13%,-1.30%,0.39%,0.09%,-3.39%,2.05%,0.72%,2.87%,0.02%,4.37%,4.41%,1.69%,1.91%,4.98%,0.58%,55,124,114,123,56,190,"1,085",661,"1,491","1,283",-16.80%,143.7%,-34.11%,163.9%,380.6%,1138%,157.8%,1906%,-36.09%,-13.94%
2022-12-31,2022-11-30,-2.97%,-0.14%,0.29%,0.72%,0.01%,-10.30%,-6.94%,-3.59%,-4.94%,-4.50%,3.65%,6.11%,1.19%,-2.81%,-6.04%,-4.65%,53,124,114,124,56,171,"1,010",637,"1,417","1,225",-14.32%,157.8%,-31.70%,180.0%,351.6%,1081%,161.4%,1850%,-33.76%,-8.68%
2023-01-31,2022-12-31,8.00%,1.84%,2.56%,1.26%,4.89%,24.49%,15.90%,11.36%,10.54%,13.48%,-2.07%,-10.26%,4.63%,10.61%,7.10%,13.69%,57,126,117,125,59,213,"1,171",710,"1,566","1,390",-16.99%,129.4%,-33.12%,151.3%,383.7%,1242%,178.6%,2057%,-35.13%,-18.04%
2023-02-28,2023-01-31,-6.80%,-3.25%,-1.45%,-1.64%,-2.75%,-6.71%,-4.31%,-2.64%,-2.58%,-3.17%,4.06%,3.48%,-1.56%,-2.15%,-2.37%,-3.19%,53,122,115,123,57,198,"1,120",691,"1,526","1,346",-13.63%,137.6%,-30.40%,160.0%,372.2%,1199%,176.4%,2010%,-32.49%,-15.20%
2023-03-31,2023-02-28,-6.21%,-2.93%,-2.18%,-1.24%,2.51%,-8.34%,-6.61%,-5.90%,-5.45%,-5.82%,9.15%,2.60%,4.71%,-5.39%,2.73%,-6.17%,50,119,113,122,59,182,"1,046",650,"1,443","1,268",-6.10%,143.5%,-24.03%,166.8%,385.1%,1119%,151.8%,1897%,-26.31%,-12.99%
2023-04-30,2023-03-31,1.12%,1.36%,0.34%,-0.36%,1.85%,-3.37%,-1.80%,-1.16%,-2.75%,-2.04%,1.16%,1.84%,2.18%,-1.59%,0.94%,-2.14%,50,120,113,121,60,176,"1,027",643,"1,403","1,242",-5.41%,146.8%,-23.15%,171.7%,389.7%,1093%,144.0%,1865%,-25.46%,-11.39%
2023-05-31,2023-04-30,-2.18%,-0.65%,-1.28%,-1.71%,-2.81%,2.75%,0.64%,-1.48%,-1.85%,-1.40%,-0.96%,-4.41%,-3.26%,-2.98%,0.56%,-1.66%,49,120,112,119,58,180,"1,034",633,"1,377","1,225",-6.01%,136.5%,-23.89%,159.7%,392.4%,1073%,138.6%,1806%,-26.18%,-15.30%
2023-06-30,2023-05-31,-4.46%,-0.95%,-1.15%,-1.67%,-4.55%,6.27%,7.90%,6.19%,5.78%,3.91%,-1.05%,-2.42%,-5.24%,3.41%,6.84%,4.14%,47,118,110,117,55,192,"1,116",672,"1,457","1,272",-6.09%,131.0%,-24.69%,153.4%,426.0%,1122%,132.2%,1871%,-26.95%,-17.35%
2023-07-31,2023-06-30,0.99%,-1.81%,-1.82%,-2.27%,-4.95%,9.60%,5.77%,4.75%,4.08%,1.68%,-5.60%,-7.23%,-6.56%,-0.21%,3.63%,1.96%,48,116,108,115,53,210,"1,180",704,"1,516","1,294",-11.66%,112.7%,-28.91%,135.1%,445.2%,1146%,128.3%,1867%,-31.04%,-23.32%
2023-08-31,2023-07-31,-3.10%,0.01%,-1.15%,-0.42%,0.37%,-11.11%,-6.36%,-6.02%,-5.25%,-4.87%,2.69%,5.29%,0.67%,-3.98%,-1.96%,-5.57%,46,116,107,114,53,187,"1,105",662,"1,437","1,231",-8.60%,125.9%,-26.99%,147.5%,434.5%,1077%,120.0%,1789%,-29.18%,-19.26%
2023-09-30,2023-08-31,-2.52%,-1.04%,-0.64%,0.51%,2.33%,-10.88%,-8.00%,-5.44%,-5.56%,-4.24%,5.36%,6.30%,4.15%,-2.85%,-4.85%,-4.74%,45,115,107,115,54,167,"1,017",626,"1,357","1,179",-4.17%,140.9%,-23.08%,163.2%,408.6%,1021%,120.3%,1735%,-25.39%,-14.17%
2023-10-31,2023-09-30,-3.86%,-2.11%,-0.93%,-0.23%,0.86%,-11.81%,-8.70%,-6.01%,-5.46%,-6.78%,4.52%,4.77%,1.88%,-6.05%,-2.71%,-7.48%,43,113,106,114,54,147,928,588,"1,283","1,099",0.36%,153.1%,-19.60%,175.7%,394.8%,936.9%,109.8%,1624%,-22.02%,-10.07%
2023-11-30,2023-10-31,3.26%,1.85%,-0.29%,-1.14%,-5.04%,11.12%,10.71%,7.62%,7.20%,5.82%,-7.97%,-3.42%,-6.41%,6.89%,9.33%,7.91%,45,115,105,113,52,163,"1,027",633,"1,375","1,163",-7.97%,139.6%,-26.01%,166.3%,440.9%,1019%,106.8%,1743%,-28.23%,-13.15%
2023-12-31,2023-11-30,-3.41%,-0.45%,-2.76%,-1.05%,-6.42%,17.60%,13.09%,8.37%,10.67%,8.61%,-2.98%,-7.09%,-7.90%,6.91%,5.36%,9.03%,43,114,102,112,48,192,"1,162",686,"1,522","1,263",-10.74%,118.1%,-28.21%,147.4%,469.9%,1120%,114.4%,1870%,-30.37%,-19.31%
2024-01-31,2023-12-31,2.79%,1.66%,0.12%,0.77%,2.44%,-6.17%,-2.67%,-3.23%,-2.57%,-2.63%,-0.50%,3.04%,2.12%,-2.20%,1.01%,-3.11%,44,116,102,113,50,180,"1,131",664,"1,483","1,230",-11.05%,125.8%,-28.57%,154.9%,475.7%,1082%,105.6%,1827%,-30.72%,-16.86%
2024-02-29,2024-01-31,4.66%,0.41%,0.38%,0.53%,-0.86%,8.68%,4.22%,2.81%,4.72%,4.52%,-6.17%,-3.72%,-3.32%,3.30%,5.38%,4.42%,46,117,103,113,49,196,"1,179",682,"1,553","1,285",-15.96%,116.4%,-32.98%,145.4%,506.7%,1134%,103.6%,1890%,-34.99%,-19.95%
2024-03-31,2024-02-29,0.47%,0.72%,0.45%,1.49%,2.07%,1.22%,2.71%,3.34%,4.07%,2.99%,2.65%,3.43%,3.96%,5.84%,3.23%,4.81%,47,117,103,115,50,198,"1,211",705,"1,616","1,324",-14.61%,120.3%,-31.20%,153.8%,526.3%,1194%,106.8%,2007%,-33.27%,-17.20%
2024-04-30,2024-03-31,-3.14%,-1.56%,-0.82%,-0.10%,0.95%,-10.88%,-7.98%,-5.89%,-5.47%,-5.17%,5.20%,5.60%,2.85%,-3.98%,-4.29%,-5.66%,45,116,102,115,51,177,"1,114",664,"1,528","1,255",-11.12%,132.9%,-27.63%,168.1%,499.4%,1121%,104.0%,1923%,-29.80%,-12.56%
2024-05-31,2024-04-30,-3.09%,-0.26%,-0.99%,-0.35%,-4.09%,4.52%,8.46%,3.27%,4.18%,2.43%,-2.29%,-4.70%,-5.61%,0.34%,4.77%,1.75%,44,115,101,115,49,184,"1,208",685,"1,592","1,286",-12.01%,128.0%,-29.29%,155.5%,528.0%,1142%,97.80%,1930%,-31.41%,-16.67%
2024-06-30,2024-05-31,-3.93%,-1.79%,-2.10%,-2.32%,-3.49%,-4.32%,-2.33%,-2.57%,-2.10%,-3.73%,0.90%,0.95%,-3.40%,-3.82%,3.17%,-4.11%,42,113,99,112,47,177,"1,180",668,"1,558","1,238",-11.62%,129.3%,-28.65%,157.9%,547.9%,1091%,83.41%,1852%,-30.79%,-15.88%
2024-07-31,2024-06-30,-4.00%,-0.30%,-0.89%,-0.67%,-6.18%,8.57%,10.18%,7.17%,6.51%,4.08%,-3.52%,-5.06%,-7.97%,2.19%,1.82%,3.70%,40,113,98,111,44,192,"1,300",716,"1,660","1,288",-13.54%,119.0%,-31.16%,144.9%,559.7%,1135%,86.87%,1895%,-33.23%,-20.13%
2024-08-31,2024-07-31,-0.84%,-0.13%,-0.89%,-0.30%,-1.39%,-4.85%,-2.18%,-2.86%,-1.05%,-2.07%,0.40%,4.38%,-1.34%,-0.40%,2.17%,-1.71%,40,113,98,111,43,182,"1,272",695,"1,642","1,262",-14.02%,125.1%,-30.89%,155.6%,574.0%,1114%,79.60%,1887%,-32.96%,-16.63%
2024-09-30,2024-08-31,-2.75%,-0.69%,-0.88%,-1.05%,-1.66%,-0.30%,1.04%,0.31%,0.36%,0.94%,1.23%,1.20%,-1.16%,1.40%,2.15%,1.04%,39,112,97,110,43,182,"1,285",697,"1,648","1,274",-13.08%,127.9%,-30.04%,158.7%,588.5%,1126%,77.61%,1915%,-32.14%,-15.63%
2024-10-31,2024-09-30,2.96%,0.76%,0.07%,-0.46%,0.78%,0.89%,-0.45%,-0.49%,-1.33%,-0.31%,-1.68%,-0.81%,-0.00%,-0.83%,-0.65%,-0.59%,40,113,97,109,43,183,"1,279",694,"1,626","1,270",-14.98%,125.1%,-31.21%,156.6%,584.0%,1119%,77.73%,1898%,-33.28%,-16.31%
2024-11-30,2024-10-31,-1.16%,-0.44%,-1.74%,-2.82%,-7.50%,12.67%,11.18%,8.66%,7.23%,7.79%,-7.22%,-3.35%,-10.56%,7.25%,6.82%,8.26%,40,112,95,106,40,207,"1,422",754,"1,744","1,369",-20.36%,114.2%,-36.18%,148.0%,630.7%,1220%,80.28%,2043%,-38.10%,-19.12%
2024-12-31,2024-11-30,2.13%,-0.03%,0.07%,0.98%,4.96%,-2.03%,-5.89%,-2.63%,-3.28%,0.51%,3.97%,2.15%,6.28%,0.51%,-2.93%,-0.14%,40,112,95,107,42,202,"1,339",734,"1,686","1,375",-18.11%,119.6%,-33.65%,153.3%,609.2%,1218%,85.32%,2054%,-35.64%,-17.37%
